canonical_name,source_dir,source_root,status,has_prun_xtc,sim_ns,sim_ns_source
DPPC50_POPE50,DPPC50_POPE50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC60_DIPC40,DPPC60_DIPC40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC60_DOPC40,DPPC60_DOPC40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC60_DOPE40,DPPC60_DOPE40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC60_DPPE40,DPPC60_DPPE40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC60_POPE40,DPPC60_POPE40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC70_DIPC30,DPPC70_DIPC30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC70_DOPC30,DPPC70_DOPC30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC70_DOPE30,DPPC70_DOPE30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC70_DPPE30,DPPC70_DPPE30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC70_POPE30,DPPC70_POPE30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC80_DIPC20,DPPC80_DIPC20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC80_DOPC20,DPPC80_DOPC20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC80_DOPE20,DPPC80_DOPE20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC80_DPPE20,DPPC80_DPPE20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC80_POPE20,DPPC80_POPE20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC90_DIPC10,DPPC90_DIPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC90_DOPC10,DPPC90_DOPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC90_DOPE10,DPPC90_DOPE10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC90_DPPE10,DPPC90_DPPE10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPC90_POPE10,DPPC90_POPE10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPE50_POPC50,DPPE50_POPC50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPE60_POPC40,DPPE60_POPC40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPE70_POPC30,DPPE70_POPC30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPE80_POPC20,DPPE80_POPC20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
DPPE90_POPC10,DPPE90_POPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPC50_POPE50,POPC50_POPE50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPC50_POPS50,POPC50_POPS50,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPC60_DOPE40,POPC60_DOPE40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPC60_DOPS40,POPC60_DOPS40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPC60_DPPE40,POPC60_DPPE40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPC60_POPE40,POPC60_POPE40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPC60_POPS40,POPC60_POPS40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPC70_DOPS30,POPC70_DOPS30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPC70_POPS30,POPC70_POPS30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPC80_DOPS20,POPC80_DOPS20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPC80_POPS20,POPC80_POPS20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPE60_POPC40,POPE60_POPC40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPE70_POPC30,POPE70_POPC30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPE80_POPC20,POPE80_POPC20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPE90_POPC10,POPE90_POPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPS60_POPC40,POPS60_POPC40,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPS70_POPC30,POPS70_POPC30,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPS80_POPC20,POPS80_POPC20,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
POPS90_POPC10,POPS90_POPC10,/home/phillip/Goethe/Thesis/lipid-graph-nn/data/martini_pipeline,ok,true,1000.000,actual
